rank,name,writer,quote
1,红楼梦,[清] 曹雪芹 著,都云作者痴，谁解其中味？
2,活着,余华,生的苦难与伟大
3,1984,[英] 乔治·奥威尔,栗树荫下，我出卖你，你出卖我
4,百年孤独,[哥伦比亚] 加西亚·马尔克斯,魔幻现实主义文学代表作
5,三体全集,刘慈欣,地球往事三部曲
6,哈利·波特,J.K.罗琳 (J.K.Rowling),从9¾站台开始的旅程
7,飘,[美国] 玛格丽特·米切尔,革命时期的爱情，随风而逝
8,动物农场,[英国] 乔治·奥威尔,太阳底下并无新事
9,房思琪的初恋乐园,林奕含,向死而生的文学绝唱
10,三国演义（全二册）,[明] 罗贯中,是非成败转头空
11,福尔摩斯探案全集（上中下）,[英] 阿瑟·柯南·道尔,名侦探的代名词
12,白夜行,[日] 东野圭吾,一宗离奇命案牵出跨度近20年步步惊心的故事
13,小王子,[法国] 安东尼·德·圣-埃克苏佩里,献给长成了大人的孩子们
14,天龙八部,金庸,有情皆孽，无人不冤
15,安徒生童话故事集,（丹麦）安徒生,为了争取未来的一代
16,撒哈拉的故事,三毛,游荡的自由灵魂
17,杀死一只知更鸟,[美国] 哈珀·李,有一种东西不能遵循从众原则，那就是——人的良心
18,呐喊,鲁迅,新文学的第一声呐喊
19,失踪的孩子,[意] 埃莱娜·费兰特,我的整个生命，只是一场为了提升社会地位的低俗斗争。
20,新名字的故事,[意] 埃莱娜·费兰特,探索青年时代的激情、困惑、挣扎、背叛和失去
21,明朝那些事儿（1-9）,当年明月,不拘一格的历史书写
22,沉默的大多数,王小波,沉默是沉默者的通行证
23,悉达多,[德] 赫尔曼·黑塞,
24,局外人,[法] 阿尔贝·加缪,人生在世，永远也不该演戏作假
25,中国历代政治得失,钱穆,一部简明的“中国政治制度史”
26,邓小平时代,【美】傅高义 (Ezra.F.Vogel),个人命运背后的历史变局
27,人类简史,[以色列] 尤瓦尔·赫拉利,跟着人类一同走过十万年
28,平凡的世界（全三部）,路遥,中国当代城乡生活全景
29,围城,钱锺书,幽默的语言和对生活深刻的观察
30,野草,鲁迅,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
31,乡土中国,费孝通,中国乡土社会传统文化和社会结构理论研究代表作
32,笑傲江湖（全四册）,金庸,欲练此功，必先自宫
33,白鹿原,陈忠实,一轴关于我们民族灵魂的现实主义画卷
34,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,义无反顾地直达爱情的核心
35,东方快车谋杀案,[英] 阿加莎·克里斯蒂,谋杀诡计惊人，波洛的抉择耐人寻味
36,肖申克的救赎,[美] 斯蒂芬·金,豆瓣电影Top1原著
37,基督山伯爵,[法国] 大仲马,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
38,江城,[美国] 彼得·海斯勒,外国人眼中的涪陵
39,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,当声称能改造智能的科学实验选中心智障碍主角
40,我与地坛,史铁生,这是你的罪孽与福祉
41,彷徨,鲁迅,路漫漫其修远兮，吾将上下而求索
42,月亮和六便士,[英] 毛姆,有多少人会经历顿悟，就有更少的人甘愿自我放逐
43,罗杰疑案,[英] 阿加莎·克里斯蒂,
44,万历十五年,[美] 黄仁宇,见微知著，历史观的颠覆
45,城南旧事,林海音 文,长亭外，古道边，芳草碧连天
46,许三观卖血记,余华,
47,追风筝的人,[美] 卡勒德·胡赛尼,为你，千千万万遍
48,艺术的故事,[英国] E·H·贡布里希,从最早的洞窟绘画到当今的实验艺术
49,卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,错综复杂的社会、家庭矛盾和人性悲剧
50,射雕英雄传,金庸,侠之大者，为国为民
51,刀锋,[英]毛姆,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
52,朝花夕拾,鲁迅,在纷扰中寻出一点闲静
53,寻路中国,[美] 彼得·海斯勒,《纽约客》驻北京记者驾车漫游中国大陆的经历
54,故事新编,鲁迅,拾取古代传说，取一点因由，随意点染
55,格林童话全集,[德国]格林兄弟,一本有教育意义的书
56,树上的男爵,(意)卡尔维诺,是不是真的只有先与人疏离，才能最终与他们在一起？
57,嫌疑人X的献身,[日本] 东野圭吾,数学好是一种极致的浪漫
58,无人生还,[英] 阿加莎·克里斯蒂,童谣杀人案
59,厌女,上野千鹤子,
60,鼠疫,[法] 阿尔贝·加缪,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
